板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
中小板,创新医疗管理股份有限公司,002173,创新医疗,2007-09-25,Q 卫生
中小板,游族网络股份有限公司,002174,游族网络,2007-09-25,I 信息技术
中小板,东方时代网络传媒股份有限公司,002175,ST东网,2007-10-12,C 制造业
中小板,江西特种电机股份有限公司,002176,*ST江特,2007-10-12,C 制造业
中小板,广州御银科技股份有限公司,002177,御银股份,2007-11-01,C 制造业
中小板,上海延华智能科技(集团)股份有限公司,002178,延华智能,2007-11-01,M 科研服务
中小板,中航光电科技股份有限公司,002179,中航光电,2007-11-01,C 制造业
中小板,纳思达股份有限公司,002180,纳思达,2007-11-13,C 制造业
中小板,广东广州日报传媒股份有限公司,002181,粤 传 媒,2007-11-16,L 商务服务
中小板,南京云海特种金属股份有限公司,002182,云海金属,2007-11-13,C 制造业
中小板,深圳市怡亚通供应链股份有限公司,002183,怡 亚 通,2007-11-13,L 商务服务
中小板,上海海得控制系统股份有限公司,002184,海得控制,2007-11-16,C 制造业
中小板,天水华天科技股份有限公司,002185,华天科技,2007-11-20,C 制造业
中小板,中国全聚德(集团)股份有限公司,002186,全 聚 德,2007-11-20,H 住宿餐饮
中小板,广州市广百股份有限公司,002187,广百股份,2007-11-22,F 批发零售
中小板,巴士在线股份有限公司,002188,*ST巴士,2007-11-22,L 商务服务
中小板,中光学集团股份有限公司,002189,中光学,2007-12-03,C 制造业
中小板,四川成飞集成科技股份有限公司,002190,成飞集成,2007-12-03,C 制造业
中小板,深圳劲嘉集团股份有限公司,002191,劲嘉股份,2007-12-05,C 制造业
中小板,融捷股份有限公司,002192,*ST融捷,2007-12-05,C 制造业
中小板,山东如意毛纺服装集团股份有限公司,002193,如意集团,2007-12-07,C 制造业
中小板,武汉凡谷电子技术股份有限公司,002194,武汉凡谷,2007-12-07,C 制造业
中小板,上海二三四五网络控股集团股份有限公司,002195,二三四五,2007-12-12,I 信息技术
中小板,浙江方正电机股份有限公司,002196,方正电机,2007-12-12,C 制造业
中小板,深圳市证通电子股份有限公司,002197,证通电子,2007-12-18,C 制造业
中小板,广东嘉应制药股份有限公司,002198,嘉应制药,2007-12-18,C 制造业
中小板,浙江东晶电子股份有限公司,002199,东晶电子,2007-12-21,C 制造业
中小板,云南云投生态环境科技股份有限公司,002200,ST云投,2007-12-21,A 农林牧渔
中小板,江苏九鼎新材料股份有限公司,002201,九鼎新材,2007-12-26,C 制造业
中小板,新疆金风科技股份有限公司,002202,金风科技,2007-12-26,C 制造业
中小板,浙江海亮股份有限公司,002203,海亮股份,2008-01-16,C 制造业
中小板,大连华锐重工集团股份有限公司,002204,大连重工,2008-01-16,C 制造业
中小板,新疆国统管道股份有限公司,002205,国统股份,2008-01-23,C 制造业
中小板,浙江海利得新材料股份有限公司,002206,海 利 得,2008-01-23,C 制造业
中小板,新疆准东石油技术股份有限公司,002207,准油股份,2008-01-28,B 采矿业
中小板,合肥城建发展股份有限公司,002208,合肥城建,2008-01-28,K 房地产
中小板,广州达意隆包装机械股份有限公司,002209,达 意 隆,2008-01-30,C 制造业
中小板,深圳市飞马国际供应链股份有限公司,002210,*ST飞马,2008-01-30,L 商务服务
中小板,上海宏达新材料股份有限公司,002211,宏达新材,2008-02-01,C 制造业
中小板,天融信科技集团股份有限公司,002212,天融信,2008-02-01,I 信息技术
中小板,深圳市大为创新科技股份有限公司,002213,大为股份,2008-02-01,C 制造业
中小板,浙江大立科技股份有限公司,002214,大立科技,2008-02-18,C 制造业
中小板,深圳诺普信农化股份有限公司,002215,诺 普 信,2008-02-18,C 制造业
中小板,三全食品股份有限公司,002216,三全食品,2008-02-20,C 制造业
中小板,合力泰科技股份有限公司,002217,合力泰,2008-02-20,C 制造业
中小板,深圳市拓日新能源科技股份有限公司,002218,拓日新能,2008-02-28,C 制造业
中小板,恒康医疗集团股份有限公司,002219,*ST恒康,2008-03-06,C 制造业
中小板,东华能源股份有限公司,002221,东华能源,2008-03-06,F 批发零售
中小板,福建福晶科技股份有限公司,002222,福晶科技,2008-03-19,C 制造业
中小板,江苏鱼跃医疗设备股份有限公司,002223,鱼跃医疗,2008-04-18,C 制造业
中小板,三力士股份有限公司,002224,三 力 士,2008-04-25,C 制造业
中小板,濮阳濮耐高温材料（集团）股份有限公司,002225,濮耐股份,2008-04-25,C 制造业
中小板,安徽江南化工股份有限公司,002226,江南化工,2008-05-06,C 制造业
中小板,深圳奥特迅电力设备股份有限公司,002227,奥 特 迅,2008-05-06,C 制造业
中小板,厦门合兴包装印刷股份有限公司,002228,合兴包装,2008-05-08,C 制造业
中小板,鸿博股份有限公司,002229,鸿博股份,2008-05-08,C 制造业
中小板,科大讯飞股份有限公司,002230,科大讯飞,2008-05-12,I 信息技术
中小板,奥维通信股份有限公司,002231,奥维通信,2008-05-12,C 制造业
中小板,启明信息技术股份有限公司,002232,启明信息,2008-05-09,I 信息技术
中小板,广东塔牌集团股份有限公司,002233,塔牌集团,2008-05-16,C 制造业
中小板,山东民和牧业股份有限公司,002234,民和股份,2008-05-16,A 农林牧渔
中小板,厦门安妮股份有限公司,002235,安妮股份,2008-05-16,I 信息技术
中小板,浙江大华技术股份有限公司,002236,大华股份,2008-05-20,C 制造业
中小板,山东恒邦冶炼股份有限公司,002237,恒邦股份,2008-05-20,C 制造业
中小板,深圳市天威视讯股份有限公司,002238,天威视讯,2008-05-26,I 信息技术
中小板,奥特佳新能源科技股份有限公司,002239,奥特佳,2008-05-22,C 制造业
中小板,深圳盛新锂能集团股份有限公司,002240,盛新锂能,2008-05-23,C 制造业
中小板,歌尔股份有限公司,002241,歌尔股份,2008-05-22,C 制造业
中小板,九阳股份有限公司,002242,九阳股份,2008-05-28,C 制造业
中小板,深圳市力合科创股份有限公司,002243,力合科创,2008-05-28,C 制造业
中小板,杭州滨江房产集团股份有限公司,002244,滨江集团,2008-05-29,K 房地产
中小板,江苏蔚蓝锂芯股份有限公司,002245,蔚蓝锂芯,2008-06-05,G 运输仓储
中小板,北方化学工业股份有限公司,002246,北化股份,2008-06-05,C 制造业
中小板,浙江聚力文化发展股份有限公司,002247,*ST聚力,2008-06-12,I 信息技术
中小板,威海华东数控股份有限公司,002248,华东数控,2008-06-12,C 制造业
中小板,中山大洋电机股份有限公司,002249,大洋电机,2008-06-19,C 制造业
中小板,联化科技股份有限公司,002250,联化科技,2008-06-19,C 制造业
中小板,步步高商业连锁股份有限公司,002251,步 步 高,2008-06-19,F 批发零售
中小板,上海莱士血液制品股份有限公司,002252,上海莱士,2008-06-23,C 制造业
中小板,四川川大智胜软件股份有限公司,002253,川大智胜,2008-06-23,I 信息技术
中小板,烟台泰和新材料股份有限公司,002254,泰和新材,2008-06-25,C 制造业
中小板,苏州海陆重工股份有限公司,002255,*ST海陆,2008-06-25,C 制造业
中小板,深圳市兆新能源股份有限公司,002256,*ST兆新,2008-06-25,D 水电煤气
中小板,利尔化学股份有限公司,002258,利尔化学,2008-07-08,C 制造业
中小板,四川升达林业产业股份有限公司,002259,*ST升达,2008-07-16,D 水电煤气
中小板,德奥通用航空股份有限公司,002260,*ST德奥,2008-07-16,C 制造业
中小板,拓维信息系统股份有限公司,002261,拓维信息,2008-07-23,I 信息技术
中小板,江苏恩华药业股份有限公司,002262,恩华药业,2008-07-23,C 制造业
中小板,浙江大东南股份有限公司,002263,大东南,2008-07-28,C 制造业
中小板,新华都购物广场股份有限公司,002264,新 华 都,2008-07-31,F 批发零售
中小板,云南西仪工业股份有限公司,002265,西仪股份,2008-08-06,C 制造业
中小板,浙富控股集团股份有限公司,002266,浙富控股,2008-08-06,N 公共环保
中小板,陕西省天然气股份有限公司,002267,陕天然气,2008-08-13,D 水电煤气
中小板,成都卫士通信息产业股份有限公司,002268,卫 士 通,2008-08-11,I 信息技术
中小板,上海美特斯邦威服饰股份有限公司,002269,美邦服饰,2008-08-28,C 制造业
中小板,华明电力装备股份有限公司,002270,华明装备,2008-09-05,C 制造业
中小板,北京东方雨虹防水技术股份有限公司,002271,东方雨虹,2008-09-10,C 制造业
中小板,四川川润股份有限公司,002272,川润股份,2008-09-19,C 制造业
中小板,浙江水晶光电科技股份有限公司,002273,水晶光电,2008-09-19,C 制造业
中小板,江苏华昌化工股份有限公司,002274,华昌化工,2008-09-25,C 制造业
中小板,桂林三金药业股份有限公司,002275,桂林三金,2009-07-10,C 制造业
中小板,浙江万马股份有限公司,002276,万马股份,2009-07-10,C 制造业
中小板,湖南友谊阿波罗商业股份有限公司,002277,友阿股份,2009-07-17,F 批发零售
中小板,上海神开石油化工装备股份有限公司,002278,神开股份,2009-08-11,C 制造业
中小板,北京久其软件股份有限公司,002279,久其软件,2009-08-11,I 信息技术
中小板,杭州联络互动信息科技股份有限公司,002280,*ST联络,2009-08-21,I 信息技术
中小板,武汉光迅科技股份有限公司,002281,光迅科技,2009-08-21,C 制造业
中小板,博深股份有限公司,002282,博深股份,2009-08-21,C 制造业
中小板,天润工业技术股份有限公司,002283,天润工业,2009-08-21,C 制造业
中小板,浙江亚太机电股份有限公司,002284,亚太股份,2009-08-28,C 制造业
中小板,深圳世联行集团股份有限公司,002285,世联行,2009-08-28,K 房地产
中小板,保龄宝生物股份有限公司,002286,保龄宝,2009-08-28,C 制造业
中小板,西藏奇正藏药股份有限公司,002287,奇正藏药,2009-08-28,C 制造业
中小板,广东超华科技股份有限公司,002288,超华科技,2009-09-03,C 制造业
中小板,深圳市宇顺电子股份有限公司,002289,ST宇顺,2009-09-03,C 制造业
中小板,苏州禾盛新型材料股份有限公司,002290,ST禾盛,2009-09-03,C 制造业
中小板,星期六股份有限公司,002291,星期六,2009-09-03,C 制造业
中小板,奥飞娱乐股份有限公司,002292,奥飞娱乐,2009-09-10,C 制造业
中小板,罗莱生活科技股份有限公司,002293,罗莱生活,2009-09-10,C 制造业
中小板,深圳信立泰药业股份有限公司,002294,信立泰,2009-09-10,C 制造业
中小板,广东精艺金属股份有限公司,002295,精艺股份,2009-09-29,C 制造业
中小板,河南辉煌科技股份有限公司,002296,辉煌科技,2009-09-29,C 制造业
中小板,湖南博云新材料股份有限公司,002297,博云新材,2009-09-29,C 制造业
中小板,安徽中电兴发与鑫龙科技股份有限公司,002298,中电兴发,2009-09-29,I 信息技术
中小板,福建圣农发展股份有限公司,002299,圣农发展,2009-10-21,A 农林牧渔
中小板,福建南平太阳电缆股份有限公司,002300,太阳电缆,2009-10-21,C 制造业
中小板,深圳齐心集团股份有限公司,002301,齐心集团,2009-10-21,C 制造业
中小板,中建西部建设股份有限公司,002302,西部建设,2009-11-03,C 制造业
中小板,美盈森集团股份有限公司,002303,美盈森,2009-11-03,C 制造业
中小板,江苏洋河酒厂股份有限公司,002304,洋河股份,2009-11-06,C 制造业
中小板,南国置业股份有限公司,002305,南国置业,2009-11-06,K 房地产
中小板,中科云网科技集团股份有限公司,002306,ST云网,2009-11-11,H 住宿餐饮
中小板,新疆北新路桥集团股份有限公司,002307,北新路桥,2009-11-11,E 建筑业
中小板,威创集团股份有限公司,002308,威创股份,2009-11-27,C 制造业
中小板,江苏中利集团股份有限公司,002309,中利集团,2009-11-27,C 制造业
中小板,北京东方园林环境股份有限公司,002310,东方园林,2009-11-27,N 公共环保
中小板,广东海大集团股份有限公司,002311,海大集团,2009-11-27,C 制造业
中小板,成都三泰控股集团股份有限公司,002312,三泰控股,2009-12-03,C 制造业
中小板,日海智能科技股份有限公司,002313,日海智能,2009-12-03,C 制造业
中小板,深圳市新南山控股（集团）股份有限公司,002314,南山控股,2009-12-03,K 房地产
中小板,焦点科技股份有限公司,002315,焦点科技,2009-12-09,I 信息技术
中小板,深圳亚联发展科技股份有限公司,002316,亚联发展,2009-12-09,I 信息技术
中小板,广东众生药业股份有限公司,002317,众生药业,2009-12-11,C 制造业
中小板,浙江久立特材科技股份有限公司,002318,久立特材,2009-12-11,C 制造业
中小板,珠海市乐通化工股份有限公司,002319,*ST乐通,2009-12-11,C 制造业
中小板,海南海峡航运股份有限公司,002320,海峡股份,2009-12-16,G 运输仓储
中小板,河南华英农业发展股份有限公司,002321,华英农业,2009-12-16,A 农林牧渔
中小板,宁波理工环境能源科技股份有限公司,002322,理工环科,2009-12-18,I 信息技术
中小板,山东雅博科技股份有限公司,002323,*ST雅博,2009-12-18,E 建筑业
中小板,上海普利特复合材料股份有限公司,002324,普利特,2009-12-18,C 制造业
中小板,深圳洪涛集团股份有限公司,002325,洪涛股份,2009-12-22,E 建筑业
中小板,浙江永太科技股份有限公司,002326,永太科技,2009-12-22,C 制造业
中小板,深圳市富安娜家居用品股份有限公司,002327,富安娜,2009-12-30,C 制造业
中小板,上海新朋实业股份有限公司,002328,新朋股份,2009-12-30,C 制造业
中小板,皇氏集团股份有限公司,002329,皇氏集团,2010-01-06,C 制造业
中小板,山东得利斯食品股份有限公司,002330,得利斯,2010-01-06,C 制造业
中小板,安徽皖通科技股份有限公司,002331,皖通科技,2010-01-06,I 信息技术
中小板,浙江仙琚制药股份有限公司,002332,仙琚制药,2010-01-12,C 制造业
中小板,中亿丰罗普斯金铝业股份有限公司,002333,ST罗普,2010-01-12,C 制造业
中小板,深圳市英威腾电气股份有限公司,002334,英威腾,2010-01-13,C 制造业
中小板,科华数据股份有限公司,002335,科华数据,2010-01-13,C 制造业
中小板,人人乐连锁商业集团股份有限公司,002336,ST人乐,2010-01-13,F 批发零售
中小板,天津赛象科技股份有限公司,002337,赛象科技,2010-01-15,C 制造业
中小板,长春奥普光电技术股份有限公司,002338,奥普光电,2010-01-15,C 制造业
中小板,积成电子股份有限公司,002339,积成电子,2010-01-22,C 制造业
中小板,格林美股份有限公司,002340,格林美,2010-01-22,C 制造业
中小板,深圳市新纶科技股份有限公司,002341,新纶科技,2010-01-22,C 制造业
中小板,巨力索具股份有限公司,002342,巨力索具,2010-01-26,C 制造业
中小板,慈文传媒股份有限公司,002343,慈文传媒,2010-01-26,R 文化传播
中小板,海宁中国皮革城股份有限公司,002344,海宁皮城,2010-01-26,L 商务服务
中小板,广东潮宏基实业股份有限公司,002345,潮宏基,2010-01-28,C 制造业
中小板,上海柘中集团股份有限公司,002346,柘中股份,2010-01-28,C 制造业
中小板,泰尔重工股份有限公司,002347,泰尔股份,2010-01-28,C 制造业
中小板,广东高乐股份有限公司,002348,高乐股份,2010-02-03,C 制造业
中小板,精华制药集团股份有限公司,002349,精华制药,2010-02-03,C 制造业
中小板,北京科锐配电自动化股份有限公司,002350,北京科锐,2010-02-03,C 制造业
中小板,深圳市漫步者科技股份有限公司,002351,漫步者,2010-02-05,C 制造业
中小板,顺丰控股股份有限公司,002352,顺丰控股,2010-02-05,G 运输仓储
中小板,烟台杰瑞石油服务集团股份有限公司,002353,杰瑞股份,2010-02-05,C 制造业
中小板,大连天神娱乐股份有限公司,002354,*ST天娱,2010-02-09,I 信息技术
中小板,兴民智通（集团）股份有限公司,002355,兴民智通,2010-02-09,C 制造业
中小板,深圳赫美集团股份有限公司,002356,*ST赫美,2010-02-09,F 批发零售
中小板,四川富临运业集团股份有限公司,002357,富临运业,2010-02-10,G 运输仓储
中小板,河南森源电气股份有限公司,002358,森源电气,2010-02-10,C 制造业
中小板,北讯集团股份有限公司,002359,*ST北讯,2010-02-10,I 信息技术
中小板,山西同德化工股份有限公司,002360,同德化工,2010-03-03,C 制造业
中小板,安徽神剑新材料股份有限公司,002361,神剑股份,2010-03-03,C 制造业
中小板,汉王科技股份有限公司,002362,汉王科技,2010-03-03,C 制造业
中小板,山东隆基机械股份有限公司,002363,隆基机械,2010-03-05,C 制造业
中小板,杭州中恒电气股份有限公司,002364,中恒电气,2010-03-05,C 制造业
中小板,潜江永安药业股份有限公司,002365,永安药业,2010-03-05,C 制造业
中小板,台海玛努尔核电设备股份有限公司,002366,台海核电,2010-03-12,C 制造业
中小板,康力电梯股份有限公司,002367,康力电梯,2010-03-12,C 制造业
中小板,太极计算机股份有限公司,002368,太极股份,2010-03-12,I 信息技术
中小板,深圳市卓翼科技股份有限公司,002369,卓翼科技,2010-03-16,C 制造业
中小板,浙江亚太药业股份有限公司,002370,亚太药业,2010-03-16,C 制造业
中小板,北方华创科技集团股份有限公司,002371,北方华创,2010-03-16,C 制造业
中小板,浙江伟星新型建材股份有限公司,002372,伟星新材,2010-03-18,C 制造业
中小板,北京千方科技股份有限公司,002373,千方科技,2010-03-18,I 信息技术
中小板,山东中锐产业发展股份有限公司,002374,中锐股份,2010-03-18,E 建筑业
中小板,浙江亚厦装饰股份有限公司,002375,亚厦股份,2010-03-23,E 建筑业
中小板,山东新北洋信息技术股份有限公司,002376,新北洋,2010-03-23,C 制造业
中小板,湖北国创高新材料股份有限公司,002377,国创高新,2010-03-23,K 房地产
中小板,崇义章源钨业股份有限公司,002378,章源钨业,2010-03-31,C 制造业
中小板,山东宏创铝业控股股份有限公司,002379,宏创控股,2010-03-31,C 制造业
中小板,南京科远智慧科技集团股份有限公司,002380,科远智慧,2010-03-31,I 信息技术
中小板,浙江双箭橡胶股份有限公司,002381,双箭股份,2010-04-02,C 制造业
中小板,蓝帆医疗股份有限公司,002382,蓝帆医疗,2010-04-02,C 制造业
中小板,北京合众思壮科技股份有限公司,002383,合众思壮,2010-04-02,C 制造业
中小板,苏州东山精密制造股份有限公司,002384,东山精密,2010-04-09,C 制造业
中小板,北京大北农科技集团股份有限公司,002385,大北农,2010-04-09,C 制造业
中小板,宜宾天原集团股份有限公司,002386,天原股份,2010-04-09,C 制造业
中小板,维信诺科技股份有限公司,002387,维信诺,2010-04-13,C 制造业
中小板,深圳市新亚电子制程股份有限公司,002388,新亚制程,2010-04-13,C 制造业
中小板,航天彩虹无人机股份有限公司,002389,航天彩虹,2010-04-13,C 制造业
中小板,贵州信邦制药股份有限公司,002390,信邦制药,2010-04-16,C 制造业
中小板,江苏长青农化股份有限公司,002391,长青股份,2010-04-16,C 制造业
中小板,北京利尔高温材料股份有限公司,002392,北京利尔,2010-04-23,C 制造业
中小板,天津力生制药股份有限公司,002393,力生制药,2010-04-23,C 制造业
中小板,江苏联发纺织股份有限公司,002394,联发股份,2010-04-23,C 制造业
中小板,无锡双象超纤材料股份有限公司,002395,双象股份,2010-04-29,C 制造业
中小板,福建星网锐捷通讯股份有限公司,002396,星网锐捷,2010-06-23,C 制造业
中小板,湖南梦洁家纺股份有限公司,002397,梦洁股份,2010-04-29,C 制造业
中小板,垒知控股集团股份有限公司,002398,垒知集团,2010-05-06,C 制造业
中小板,深圳市海普瑞药业集团股份有限公司,002399,海普瑞,2010-05-06,C 制造业
中小板,广东省广告集团股份有限公司,002400,省广集团,2010-05-06,L 商务服务
中小板,中远海运科技股份有限公司,002401,中远海科,2010-05-06,I 信息技术
中小板,深圳和而泰智能控制股份有限公司,002402,和而泰,2010-05-11,C 制造业
中小板,爱仕达股份有限公司,002403,爱仕达,2010-05-11,C 制造业
中小板,浙江嘉欣丝绸股份有限公司,002404,嘉欣丝绸,2010-05-11,C 制造业
中小板,北京四维图新科技股份有限公司,002405,四维图新,2010-05-18,I 信息技术
中小板,许昌远东传动轴股份有限公司,002406,远东传动,2010-05-18,C 制造业
中小板,多氟多化工股份有限公司,002407,多氟多,2010-05-18,C 制造业
中小板,淄博齐翔腾达化工股份有限公司,002408,齐翔腾达,2010-05-18,C 制造业
中小板,江苏雅克科技股份有限公司,002409,雅克科技,2010-05-25,C 制造业
中小板,广联达科技股份有限公司,002410,广联达,2010-05-25,I 信息技术
中小板,延安必康制药股份有限公司,002411,延安必康,2010-05-25,C 制造业
中小板,湖南汉森制药股份有限公司,002412,汉森制药,2010-05-25,C 制造业
中小板,江苏雷科防务科技股份有限公司,002413,雷科防务,2010-05-28,C 制造业
中小板,武汉高德红外股份有限公司,002414,高德红外,2010-07-16,C 制造业
中小板,杭州海康威视数字技术股份有限公司,002415,海康威视,2010-05-28,C 制造业
中小板,深圳市爱施德股份有限公司,002416,爱施德,2010-05-28,F 批发零售
中小板,深南金科股份有限公司,002417,深南股份,2010-06-01,I 信息技术
中小板,浙江康盛股份有限公司,002418,*ST康盛,2010-06-01,C 制造业
中小板,天虹数科商业股份有限公司,002419,天虹股份,2010-06-01,F 批发零售
中小板,广州毅昌科技股份有限公司,002420,ST毅昌,2010-06-01,C 制造业
中小板,深圳达实智能股份有限公司,002421,达实智能,2010-06-03,I 信息技术
中小板,四川科伦药业股份有限公司,002422,科伦药业,2010-06-03,C 制造业
中小板,中粮资本控股股份有限公司,002423,中粮资本,2010-06-03,J 金融业
中小板,贵州百灵企业集团制药股份有限公司,002424,贵州百灵,2010-06-03,C 制造业
中小板,凯撒（中国）文化股份有限公司,002425,凯撒文化,2010-06-08,I 信息技术
中小板,苏州胜利精密制造科技股份有限公司,002426,*ST胜利,2010-06-08,C 制造业
中小板,浙江尤夫高新纤维股份有限公司,002427,ST尤夫,2010-06-08,C 制造业
中小板,云南临沧鑫圆锗业股份有限公司,002428,云南锗业,2010-06-08,C 制造业
中小板,深圳市兆驰股份有限公司,002429,兆驰股份,2010-06-10,C 制造业
中小板,杭州制氧机集团股份有限公司,002430,杭氧股份,2010-06-10,C 制造业
中小板,棕榈生态城镇发展股份有限公司,002431,棕榈股份,2010-06-10,E 建筑业
中小板,天津九安医疗电子股份有限公司,002432,九安医疗,2010-06-10,C 制造业
中小板,广东太安堂药业股份有限公司,002433,太安堂,2010-06-18,C 制造业
中小板,浙江万里扬股份有限公司,002434,万里扬,2010-06-18,C 制造业
中小板,长江润发健康产业股份有限公司,002435,长江健康,2010-06-18,C 制造业
中小板,深圳市兴森快捷电路科技股份有限公司,002436,兴森科技,2010-06-18,C 制造业
中小板,哈尔滨誉衡药业股份有限公司,002437,誉衡药业,2010-06-23,C 制造业
中小板,江苏神通阀门股份有限公司,002438,江苏神通,2010-06-23,C 制造业
中小板,启明星辰信息技术集团股份有限公司,002439,启明星辰,2010-06-23,I 信息技术
中小板,浙江闰土股份有限公司,002440,闰土股份,2010-07-06,C 制造业
中小板,众业达电气股份有限公司,002441,众业达,2010-07-06,F 批发零售
中小板,龙星化工股份有限公司,002442,龙星化工,2010-07-06,C 制造业
中小板,浙江金洲管道科技股份有限公司,002443,金洲管道,2010-07-06,C 制造业
中小板,杭州巨星科技股份有限公司,002444,巨星科技,2010-07-13,C 制造业
中小板,中南红文化集团股份有限公司,002445,*ST中南,2010-07-13,R 文化传播
中小板,广东盛路通信科技股份有限公司,002446,盛路通信,2010-07-13,C 制造业
中小板,大连晨鑫网络科技股份有限公司,002447,*ST晨鑫,2010-07-13,I 信息技术
中小板,中原内配集团股份有限公司,002448,中原内配,2010-07-16,C 制造业
中小板,佛山市国星光电股份有限公司,002449,国星光电,2010-07-16,C 制造业
中小板,康得新复合材料集团股份有限公司,002450,*ST康得,2010-07-16,C 制造业
中小板,上海摩恩电气股份有限公司,002451,摩恩电气,2010-07-20,C 制造业
中小板,湖南长高高压开关集团股份公司,002452,长高集团,2010-07-20,C 制造业
中小板,金陵华软科技股份有限公司,002453,华软科技,2010-07-20,I 信息技术
中小板,上海加冷松芝汽车空调股份有限公司,002454,松芝股份,2010-07-20,C 制造业
中小板,江苏百川高科新材料股份有限公司,002455,百川股份,2010-08-03,C 制造业
中小板,欧菲光集团股份有限公司,002456,欧菲光,2010-08-03,C 制造业
中小板,宁夏青龙管业集团股份有限公司,002457,青龙管业,2010-08-03,C 制造业
中小板,山东益生种畜禽股份有限公司,002458,益生股份,2010-08-10,A 农林牧渔
中小板,晶澳太阳能科技股份有限公司,002459,晶澳科技,2010-08-10,C 制造业
中小板,江西赣锋锂业股份有限公司,002460,赣锋锂业,2010-08-10,C 制造业
中小板,广州珠江啤酒股份有限公司,002461,珠江啤酒,2010-08-18,C 制造业
中小板,嘉事堂药业股份有限公司,002462,嘉事堂,2010-08-18,F 批发零售
中小板,沪士电子股份有限公司,002463,沪电股份,2010-08-18,C 制造业
中小板,众应互联科技股份有限公司,002464,众应互联,2010-08-31,I 信息技术
中小板,广州海格通信集团股份有限公司,002465,海格通信,2010-08-31,C 制造业
中小板,天齐锂业股份有限公司,002466,天齐锂业,2010-08-31,C 制造业
中小板,二六三网络通信股份有限公司,002467,二六三,2010-09-08,I 信息技术
中小板,申通快递股份有限公司,002468,申通快递,2010-09-08,G 运输仓储
中小板,山东三维石化工程股份有限公司,002469,三维工程,2010-09-08,C 制造业
中小板,金正大生态工程集团股份有限公司,002470,*ST金正,2010-09-08,C 制造业
中小板,江苏中超控股股份有限公司,002471,中超控股,2010-09-10,C 制造业
中小板,浙江双环传动机械股份有限公司,002472,双环传动,2010-09-10,C 制造业
中小板,宁波圣莱达电器股份有限公司,002473,ST圣莱,2010-09-10,C 制造业
中小板,福建榕基软件股份有限公司,002474,榕基软件,2010-09-15,I 信息技术
中小板,立讯精密工业股份有限公司,002475,立讯精密,2010-09-15,C 制造业
中小板,山东宝莫生物化工股份有限公司,002476,宝莫股份,2010-09-15,C 制造业
中小板,江苏常宝钢管股份有限公司,002478,常宝股份,2010-09-21,C 制造业
中小板,浙江富春江环保热电股份有限公司,002479,富春环保,2010-09-21,D 水电煤气
中小板,成都市新筑路桥机械股份有限公司,002480,新筑股份,2010-09-21,C 制造业
中小板,烟台双塔食品股份有限公司,002481,双塔食品,2010-09-21,C 制造业
中小板,深圳广田集团股份有限公司,002482,广田集团,2010-09-29,E 建筑业
中小板,江苏润邦重工股份有限公司,002483,润邦股份,2010-09-29,C 制造业
中小板,南通江海电容器股份有限公司,002484,江海股份,2010-09-29,C 制造业
中小板,希努尔男装股份有限公司,002485,希努尔,2010-10-15,N 公共环保
中小板,上海嘉麟杰纺织品股份有限公司,002486,嘉麟杰,2010-10-15,C 制造业
中小板,辽宁大金重工股份有限公司,002487,大金重工,2010-10-15,C 制造业
中小板,浙江金固股份有限公司,002488,金固股份,2010-10-21,C 制造业
中小板,浙江永强集团股份有限公司,002489,浙江永强,2010-10-21,C 制造业
中小板,山东墨龙石油机械股份有限公司,002490,山东墨龙,2010-10-21,C 制造业
中小板,通鼎互联信息股份有限公司,002491,通鼎互联,2010-10-21,C 制造业
中小板,珠海恒基达鑫国际化工仓储股份有限公司,002492,恒基达鑫,2010-11-02,G 运输仓储
中小板,荣盛石化股份有限公司,002493,荣盛石化,2010-11-02,C 制造业
中小板,华斯控股股份有限公司,002494,华斯股份,2010-11-02,C 制造业
中小板,广东佳隆食品股份有限公司,002495,佳隆股份,2010-11-02,C 制造业
中小板,江苏辉丰生物农业股份有限公司,002496,*ST辉丰,2010-11-09,C 制造业
中小板,四川雅化实业集团股份有限公司,002497,雅化集团,2010-11-09,C 制造业
中小板,青岛汉缆股份有限公司,002498,汉缆股份,2010-11-09,C 制造业
中小板,科林环保装备股份有限公司,002499,*ST科林,2010-11-09,D 水电煤气
中小板,山西证券股份有限公司,002500,山西证券,2010-11-15,J 金融业
中小板,吉林利源精制股份有限公司,002501,*ST利源,2010-11-17,C 制造业
中小板,鼎龙文化股份有限公司,002502,*ST鼎龙,2010-11-17,R 文化传播
中小板,搜于特集团股份有限公司,002503,搜于特,2010-11-17,C 制造业
中小板,北京弘高创意建筑设计股份有限公司,002504,弘高创意,2010-11-18,E 建筑业
中小板,鹏都农牧股份有限公司,002505,鹏都农牧,2010-11-18,F 批发零售
中小板,协鑫集成科技股份有限公司,002506,协鑫集成,2010-11-18,C 制造业
中小板,重庆市涪陵榨菜集团股份有限公司,002507,涪陵榨菜,2010-11-23,C 制造业
中小板,杭州老板电器股份有限公司,002508,老板电器,2010-11-23,C 制造业
中小板,天津汽车模具股份有限公司,002510,天汽模,2010-11-25,C 制造业
中小板,中顺洁柔纸业股份有限公司,002511,中顺洁柔,2010-11-25,C 制造业
中小板,福州达华智能科技股份有限公司,002512,达华智能,2010-12-03,C 制造业
中小板,江苏蓝丰生物化工股份有限公司,002513,*ST蓝丰,2010-12-03,C 制造业
