板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,山东地矿股份有限公司,000409,ST地矿,1996-06-27,S 综合
主板,沈阳机床股份有限公司,000410,*ST沈机,1996-07-18,C 制造业
主板,浙江英特集团股份有限公司,000411,英特集团,1996-07-16,F 批发零售
主板,东旭光电科技股份有限公司,000413,东旭光电,1996-09-25,C 制造业
主板,渤海租赁股份有限公司,000415,渤海租赁,1996-07-16,L 商务服务
主板,民生控股股份有限公司,000416,民生控股,1996-07-19,J 金融业
主板,合肥百货大楼集团股份有限公司,000417,合肥百货,1996-08-12,F 批发零售
主板,长沙通程控股股份有限公司,000419,通程控股,1996-08-16,F 批发零售
主板,吉林化纤股份有限公司,000420,吉林化纤,1996-08-02,C 制造业
主板,南京公用发展股份有限公司,000421,南京公用,1996-08-06,D 水电煤气
主板,湖北宜化化工股份有限公司,000422,ST宜化,1996-08-15,C 制造业
主板,东阿阿胶股份有限公司,000423,东阿阿胶,1996-07-29,C 制造业
主板,徐工集团工程机械股份有限公司,000425,徐工机械,1996-08-28,C 制造业
主板,内蒙古兴业矿业股份有限公司,000426,兴业矿业,1996-08-28,B 采矿业
主板,华天酒店集团股份有限公司,000428,华天酒店,1996-08-08,H 住宿餐饮
主板,广东省高速公路发展股份有限公司,000429,粤高速Ａ,1998-02-20,G 运输仓储
主板,张家界旅游集团股份有限公司,000430,张家界,1996-08-29,N 公共环保
主板,山东晨鸣纸业集团股份有限公司,000488,晨鸣纸业,2000-11-20,C 制造业
主板,山东高速路桥集团股份有限公司,000498,山东路桥,1997-06-09,E 建筑业
主板,武汉武商集团股份有限公司,000501,鄂武商Ａ,1992-11-20,F 批发零售
主板,绿景控股股份有限公司,000502,绿景控股,1992-11-23,K 房地产
主板,国新健康保障服务集团股份有限公司,000503,国新健康,1992-11-30,I 信息技术
主板,南华生物医药股份有限公司,000504,ST生物,1992-12-08,M 科研服务
主板,海南京粮控股股份有限公司,000505,京粮控股,1992-12-21,C 制造业
主板,中润资源投资股份有限公司,000506,中润资源,1993-03-12,B 采矿业
主板,珠海港股份有限公司,000507,珠海港,1993-03-26,G 运输仓储
主板,华塑控股股份有限公司,000509,*ST华塑,1993-05-07,C 制造业
主板,四川新金路集团股份有限公司,000510,新金路,1993-05-07,C 制造业
主板,丽珠医药集团股份有限公司,000513,丽珠集团,1993-10-28,C 制造业
主板,重庆渝开发股份有限公司,000514,渝 开 发,1993-07-12,K 房地产
主板,西安国际医学投资股份有限公司,000516,国际医学,1993-08-09,Q 卫生
主板,荣安地产股份有限公司,000517,荣安地产,1993-08-06,K 房地产
主板,江苏四环生物股份有限公司,000518,四环生物,1993-09-08,C 制造业
主板,中兵红箭股份有限公司,000519,中兵红箭,1993-10-08,C 制造业
主板,长航凤凰股份有限公司,000520,长航凤凰,1993-10-25,G 运输仓储
主板,长虹美菱股份有限公司,000521,长虹美菱,1993-10-18,C 制造业
主板,广州市浪奇实业股份有限公司,000523,广州浪奇,1993-11-08,C 制造业
主板,广州岭南集团控股股份有限公司,000524,岭南控股,1993-11-18,H 住宿餐饮
主板,南京红太阳股份有限公司,000525,红 太 阳,1993-10-28,C 制造业
主板,厦门紫光学大股份有限公司,000526,紫光学大,1993-11-01,P 教育
主板,广西柳工机械股份有限公司,000528,柳    工,1993-11-18,C 制造业
主板,广东广弘控股股份有限公司,000529,广弘控股,1993-11-18,C 制造业
主板,冰山冷热科技股份有限公司,000530,冰山冷热,1993-12-08,C 制造业
主板,广州恒运企业集团股份有限公司,000531,穗恒运Ａ,1994-01-06,D 水电煤气
主板,珠海华金资本股份有限公司,000532,华金资本,1994-01-03,S 综合
主板,广东顺钠电气股份有限公司,000533,顺钠股份,1994-01-03,C 制造业
主板,万泽实业股份有限公司,000534,万泽股份,1994-01-10,C 制造业
主板,华映科技（集团）股份有限公司,000536,*ST华映,1993-11-26,C 制造业
主板,天津广宇发展股份有限公司,000537,广宇发展,1993-12-10,K 房地产
主板,云南白药集团股份有限公司,000538,云南白药,1993-12-15,C 制造业
主板,广东电力发展股份有限公司,000539,粤电力Ａ,1993-11-26,D 水电煤气
主板,中天金融集团股份有限公司,000540,中天金融,1994-02-02,K 房地产
主板,佛山电器照明股份有限公司,000541,佛山照明,1993-11-23,C 制造业
主板,安徽省皖能股份有限公司,000543,皖能电力,1993-12-20,D 水电煤气
主板,中原环保股份有限公司,000544,中原环保,1993-12-08,D 水电煤气
主板,金浦钛业股份有限公司,000545,金浦钛业,1993-12-15,C 制造业
主板,金圆环保股份有限公司,000546,金圆股份,1993-12-15,N 公共环保
主板,航天工业发展股份有限公司,000547,航天发展,1993-11-30,C 制造业
主板,湖南投资集团股份有限公司,000548,湖南投资,1993-12-20,G 运输仓储
主板,江铃汽车股份有限公司,000550,江铃汽车,1993-12-01,C 制造业
主板,创元科技股份有限公司,000551,创元科技,1994-01-06,S 综合
主板,甘肃靖远煤电股份有限公司,000552,靖远煤电,1994-01-06,B 采矿业
主板,安道麦股份有限公司,000553,安道麦A,1993-12-03,C 制造业
主板,中国石化山东泰山石油股份有限公司,000554,泰山石油,1993-12-15,F 批发零售
主板,神州数码信息服务股份有限公司,000555,神州信息,1994-04-08,I 信息技术
主板,宁夏西部创业实业股份有限公司,000557,西部创业,1994-06-17,G 运输仓储
主板,莱茵达体育发展股份有限公司,000558,莱茵体育,1994-05-09,K 房地产
主板,万向钱潮股份有限公司,000559,万向钱潮,1994-01-10,C 制造业
主板,我爱我家控股集团股份有限公司,000560,我爱我家,1994-02-02,K 房地产
主板,陕西烽火电子股份有限公司,000561,烽火电子,1994-05-09,C 制造业
主板,陕西省国际信托股份有限公司,000563,陕国投Ａ,1994-01-10,J 金融业
主板,供销大集集团股份有限公司,000564,*ST大集,1994-01-10,F 批发零售
主板,重庆三峡油漆股份有限公司,000565,渝三峡Ａ,1994-04-08,C 制造业
主板,海南海药股份有限公司,000566,海南海药,1994-05-25,C 制造业
主板,海南海德资本管理股份有限公司,000567,海德股份,1994-05-25,J 金融业
主板,泸州老窖股份有限公司,000568,泸州老窖,1994-05-09,C 制造业
主板,常柴股份有限公司,000570,苏常柴Ａ,1994-07-01,C 制造业
主板,新大洲控股股份有限公司,000571,*ST大洲,1994-05-25,S 综合
主板,海马汽车股份有限公司,000572,ST海马,1994-08-08,C 制造业
主板,东莞宏远工业区股份有限公司,000573,粤宏远Ａ,1994-08-15,K 房地产
主板,广东甘化科工股份有限公司,000576,甘化科工,1994-09-07,C 制造业
主板,无锡威孚高科技集团股份有限公司,000581,威孚高科,1998-09-24,C 制造业
主板,北部湾港股份有限公司,000582,北部湾港,1995-11-02,G 运输仓储
主板,江苏哈工智能机器人股份有限公司,000584,哈工智能,1995-11-28,C 制造业
主板,东北电气发展股份有限公司,000585,*ST东电,1995-12-13,C 制造业
主板,四川汇源光通信股份有限公司,000586,汇源通信,1995-12-20,C 制造业
主板,金洲慈航集团股份有限公司,000587,*ST金洲,1996-04-25,C 制造业
主板,贵州轮胎股份有限公司,000589,贵州轮胎,1996-03-08,C 制造业
主板,启迪药业集团股份公司,000590,启迪药业,1996-01-19,C 制造业
主板,中节能太阳能股份有限公司,000591,太阳能,1996-02-08,D 水电煤气
主板,中福海峡（平潭）发展股份有限公司,000592,平潭发展,1996-03-27,A 农林牧渔
主板,四川大通燃气开发股份有限公司,000593,大通燃气,1996-03-12,D 水电煤气
主板,宝塔实业股份有限公司,000595,*ST宝实,1996-04-19,C 制造业
主板,安徽古井贡酒股份有限公司,000596,古井贡酒,1996-09-27,C 制造业
主板,东北制药集团股份有限公司,000597,东北制药,1996-05-23,C 制造业
主板,成都市兴蓉环境股份有限公司,000598,兴蓉环境,1996-05-29,D 水电煤气
主板,青岛双星股份有限公司,000599,青岛双星,1996-04-30,C 制造业
主板,河北建投能源投资股份有限公司,000600,建投能源,1996-06-06,D 水电煤气
主板,广东韶能集团股份有限公司,000601,韶能股份,1996-08-30,D 水电煤气
主板,盛达金属资源股份有限公司,000603,盛达资源,1996-08-23,B 采矿业
主板,渤海水业股份有限公司,000605,渤海股份,1996-09-13,D 水电煤气
主板,顺利办信息服务股份有限公司,000606,顺利办,1996-10-04,I 信息技术
主板,浙江华媒控股股份有限公司,000607,华媒控股,1996-08-30,R 文化传播
主板,阳光新业地产股份有限公司,000608,阳光股份,1996-09-19,K 房地产
主板,北京中迪投资股份有限公司,000609,中迪投资,1996-10-10,S 综合
主板,西安旅游股份有限公司,000610,西安旅游,1996-09-26,N 公共环保
主板,内蒙古天首科技发展股份有限公司,000611,ST天首,1996-10-08,C 制造业
主板,焦作万方铝业股份有限公司,000612,焦作万方,1996-09-26,C 制造业
主板,海南大东海旅游中心股份有限公司,000613,大东海A,1997-01-28,H 住宿餐饮
主板,奥园美谷科技股份有限公司,000615,奥园美谷,1996-10-16,K 房地产
主板,海航投资集团股份有限公司,000616,海航投资,1996-11-08,K 房地产
主板,中国石油集团资本股份有限公司,000617,中油资本,1996-10-22,J 金融业
主板,芜湖海螺型材科技股份有限公司,000619,海螺型材,1996-10-23,C 制造业
主板,新华联文化旅游发展股份有限公司,000620,新华联,1996-10-29,K 房地产
主板,恒立实业发展集团股份有限公司,000622,恒立实业,1996-11-07,C 制造业
主板,吉林敖东药业集团股份有限公司,000623,吉林敖东,1996-10-28,C 制造业
主板,重庆长安汽车股份有限公司,000625,长安汽车,1997-06-10,C 制造业
主板,远大产业控股股份有限公司,000626,远大控股,1996-11-28,F 批发零售
主板,天茂实业集团股份有限公司,000627,天茂集团,1996-11-12,J 金融业
主板,成都高新发展股份有限公司,000628,高新发展,1996-11-18,E 建筑业
主板,攀钢集团钒钛资源股份有限公司,000629,攀钢钒钛,1996-11-15,C 制造业
主板,铜陵有色金属集团股份有限公司,000630,铜陵有色,1996-11-20,C 制造业
主板,顺发恒业股份公司,000631,顺发恒业,1996-11-22,K 房地产
主板,福建三木集团股份有限公司,000632,三木集团,1996-11-21,F 批发零售
主板,新疆合金投资股份有限公司,000633,合金投资,1996-11-12,C 制造业
主板,宁夏英力特化工股份有限公司,000635,英 力 特,1996-11-20,C 制造业
主板,广东风华高新科技股份有限公司,000636,风华高科,1996-11-29,C 制造业
主板,茂名石化实华股份有限公司,000637,茂化实华,1996-11-14,C 制造业
主板,万方城镇投资发展股份有限公司,000638,万方发展,1996-11-26,I 信息技术
主板,西王食品股份有限公司,000639,西王食品,1996-11-26,C 制造业
主板,仁和药业股份有限公司,000650,仁和药业,1996-12-10,C 制造业
主板,珠海格力电器股份有限公司,000651,格力电器,1996-11-18,C 制造业
主板,天津泰达股份有限公司,000652,泰达股份,1996-11-28,F 批发零售
